,Image,RAM_Tags,YOLO_Tags
121,2086.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 11 car, 1 truck, 1 traffic light"
122,2100.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 9 car, 1 truck, 1 traffic light"
123,2114.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 10 car, 2 truck, 1 traffic light"
124,2142.jpg,boy | chair | crack | person | man | road | shirt | sit | stool | street corner,"1 person, 10 car, 2 truck, 2 traffic light"
125,2156.jpg,boy | briefcase | carry | catch | cross | man | road | shirt | street corner | walk,"2 person, 14 car, 2 truck, 1 traffic light"
126,2170.jpg,carry | catch | chessboard | chess | person | man | road | sign | street corner | walk,"5 person, 10 car, 2 truck, 1 traffic light"
127,2184.jpg,carry | catch | chessboard | chess | head | person | man | road | sign | street corner | street sign | walk,"3 person, 10 car, 1 truck, 1 traffic light"
128,2198.jpg,carry | catch | chessboard | chess | head | person | man | road | sign | skateboarder | street corner | walk,"1 person, 11 car, 2 truck, 1 traffic light"
129,2212.jpg,carry | catch | chessboard | chess | person | man | road | sign | stand | street corner | street sign | walk,"1 person, 12 car, 3 truck, 1 traffic light"
130,2226.jpg,car | carry | catch | chessboard | person | man | road | sign | street corner | walk,"1 person, 11 car, 1 truck, 1 traffic light"
131,2240.jpg,car | city street | cross | person | skate | man | ride | road | skateboard | skateboarder | walk,"3 person, 10 car, 2 truck, 1 traffic light"
132,2254.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole cover | road | street corner,"3 person, 10 car, 2 truck, 1 traffic light"
133,2268.jpg,car | city street | crack | curb | drain | intersection | manhole | manhole cover | minivan | park | road | street corner | suv | van | vehicle,"1 person, 15 car, 1 truck, 1 traffic light"
134,2282.jpg,car | city street | crack | curb | drive | license plate | minivan | park | road | van | vehicle | white,"3 person, 14 car, 1 truck, 1 traffic light"
135,2296.jpg,car | city street | crack | crosswalk | curb | drain | intersection | park | road | street corner | white,"5 person, 13 car, 2 truck, 1 traffic light"
136,2310.jpg,car | city street | crack | curb | drain | intersection | manhole | manhole cover | park | road | street corner,"1 person, 16 car, 1 truck, 1 traffic light"
137,2324.jpg,black | car | city street | crack | crosswalk | curb | drain | drive | intersection | park | road | street corner,"4 person, 12 car"
138,2338.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 9 car, 1 truck, 1 traffic light"
139,2352.jpg,car | city street | crack | curb | drive | intersection | police car | road | street corner,"3 person, 11 car, 1 traffic light"
140,2366.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 15 car, 1 traffic light"
141,2380.jpg,black | car | city street | crack | crosswalk | curb | drain | drive | intersection | manhole | manhole cover | road | street corner | suv,"4 person, 12 car, 1 traffic light"
142,2394.jpg,blue | car | city street | crack | curb | drain | drive | intersection | park | road | sedan | street corner,"5 person, 9 car, 2 traffic light"
143,2408.jpg,blue | car | city street | crack | crosswalk | curb | drain | drive | intersection | park | road,"3 person, 9 car, 1 truck, 1 traffic light"
